Lesson,Frequency,Hebrew,English,POS,Category
5U,17,נֶזֶם,ring,Noun,Clothing
5U,17,נָקָם,(human) revenge; (divine) recompense,Adjective,
5U,17,נָקַף,to make a (yearly) round,Verb,Action and Stative Verbs
5U,17,נָתִין,(pl) temple slave; bondsman,Noun,Occupation
5U,17,"סֶגֶן , סָגָן","(pl) governor, prefect",Noun,Occupation
5U,17,עָוָה,to do wrong,Verb,Action and Stative Verbs
5U,17,עָיֵף,"(adj) weary, faint",Adjective,
5U,17,עָלַז,to exult,Verb,Action and Stative Verbs
5U,17,עָמֹק,(adj) deep; (ext) impenetrable,Adjective,Heavens and Earth
5U,17,עָצָב,"(pl) images, idols",Noun,Worship/Cultic
5U,17,עָרַב,to stand (as) surety (for),Verb,Movement Verbs
5U,17,עָשַׁר,be(come) rich; (Hi) make someone rich,Verb,Action and Stative Verbs
5U,17,פֶּרַח,"bud, flower",Noun,Plants and Animals
5U,17,צָמָא,(n) thirst,Noun,Food
5U,17,קָדַר,"to grow dark, turbid",Verb,Action and Stative Verbs
5U,17,קָלוֹן,shame,Noun,Personal Interactions
5U,17,קְעָרָה,dish,Noun,Food
5U,17,רָמַשׂ,"to swarm, teem",Verb,Action and Stative Verbs
5U,17,רֶמֶשׂ,"(coll) small animals, reptiles",Noun,Plants and Animals
5U,17,רַעַשׁ,"quaking, commotion",Noun,
5U,17,רָקִיעַ,plate; (met) firmament,Noun,Heavens and Earth
5U,17,שְׂבָכָה,"net; lattice, grille",Noun,
5U,17,שִׂנְאָה,"hate, hatred",Noun,Personal Interactions
5U,17,שָׁאוֹן,"din, uproar",Noun,
5U,17,שְׁאֵר,"flesh, food; blood relation",Noun,Humans and Anatomy
5U,17,שׁוּשַׁן,"lily, lotus",Noun,Plants and Animals
5U,17,שָׁלִישׁ,third man in chariot; (ext) adjutant,Noun,Lands and Warfare
5U,17,שֵׁמַע,"hearsay, report",Noun,Personal Interactions
5U,17,תֶּבֶן,"straw, chaff",Noun,Plants and Animals
5U,17,תֹּף,"timbrel, tambourine",Noun,
5U,17,תְּשִׁיעִי,(ord) ninth,Numeral,Measurement and Numbers
5V,16,אוֹב,spirit (of the dead),Noun,Worship/Cultic
5V,16,אָזַר,"to put on, gird",Verb,Action and Stative Verbs
5V,16,אֵיכָה,(interr) how? in what way? (cf אֵיךְ),Particle,
5V,16,אֵלָה,mighty tree,Noun,Plants and Animals
5V,16,אָמַל,(Pul) to dry up,Verb,Action and Stative Verbs
5V,16,"אָמְנָה , אָמְנָם , אֻמְנָם","(adv) truly, surely; (with interr) really?",Adverb,
5V,16,בֹּהֶן,thumb; big toe,Noun,Humans and Anatomy
5V,16,בָּלָה,to become old and worn out,Verb,Action and Stative Verbs
5V,16,בַּלְעֲדֵי,"(prep) apart from, except for",Preposition,
5V,16,בָּעַל,"to rule, own; marry",Verb,Action and Stative Verbs
5V,16,בָּעַת,(Ni) to be terrified,Verb,Action and Stative Verbs
5V,16,בָּצַע,to cut off,Verb,Action and Stative Verbs
5V,16,גְּדִי,kid (goat),Noun,Plants and Animals
5V,16,גַּל,(pl) wave,Noun,Heavens and Earth
5V,16,גַּנָּה,garden,Noun,Heavens and Earth
5V,16,דְּבִיר,holy of holies,Noun,Worship/Cultic
5V,16,דּוּשׁ,to trample; thresh,Verb,Action and Stative Verbs
5V,16,הָרֶה,(adj) pregnant,Adjective,Humans and Anatomy
5V,16,זוּלָה,"(prep) except, besides; (conj) except that",Preposition,
5V,16,חָגַג,to celebrate,Verb,Action and Stative Verbs
5V,16,חֶמְדָּה,"something desirable, excellent",Noun,
5V,16,חֹרֶב,"dryness, drought; desolation",Noun,
5V,16,חָשָׁה,to be quiet,Verb,Action and Stative Verbs
5V,16,טָבַל,to dip,Verb,Action and Stative Verbs
5V,16,יְגִיעַ,"labor, work; gain",Noun,
5V,16,יָצַג,"(Hi) set (down), place",Verb,Action and Stative Verbs
5V,16,יֶקֶב,wine-vat; winepress,Noun,Food
5V,16,כָּזַב,to lie; (Ni) prove to be a liar,Verb,Action and Stative Verbs
5V,16,לָבוּשׁ,"(adj) clothed, dressed",Adjective,Clothing
5V,16,לֵץ,"babbler, scoffer",Noun,Occupation
5V,16,מַחֲצִית,half,Noun,Measurement and Numbers
5V,16,מַטָּרָה,target; (men on) guard,Noun,
5V,16,מַכְאֹב,pain,Noun,
5V,16,מִכְסֶה,cover(ing),Noun,Clothing
5V,16,מִסְפֵּד,mourning (rites),Noun,
5V,16,מָרַר,to be bitter,Verb,Action and Stative Verbs
5V,16,"מַשָּׂאָה , מַשְׂאֵת",lifting up,Noun,
