Lesson,Frequency,Hebrew,English,POS,Category
1A,5000,אֶל,"(prep) unto, into, to, towards",Preposition,
1A,2706,אֱלֹהִים,"God, gods",Noun,Worship/Cultic
1A,5000,אָמַר,to say,Verb,Personal Interactions
1A,2498,אֶ֫רֶצ,"land, earth, country",Noun,Heavens and Earth
1A,5000,אֲשֶׁר,"(rel pron) who, which, that",Pronoun,
1A,5000,אֵת (I),(accusative particle; definite object marker; not translated),Particle,
1A,5000,אֵת (II),"(prep) with, beside",Preposition,
1A,5000,בְּ־,"(pref prep) in, with, by, among, through, as",Preposition,
1A,2530,בּוֹא,"to come, enter, go in",Verb,Movement Verbs
1A,4887,בֵּן,son,Noun,Family and Tribe
1A,5000,הֲ־,(pref interr particle),Particle,
1A,5000,הַ־ ּ,(pref def art) the (with dagesh in following cons),Particle,
1A,3514,הָיָה,"to be, happen, become",Verb,Action and Stative Verbs
1A,5000,וְ־,"(pref conj) and, even, also",Conjunction,
1A,5766,יהוה,"(יָהּ , יָה) The Lord",Proper Noun,Worship/Cultic
1A,2241,יוֹם,day,Noun,Time and Seasons
1A,2513,יִשְׂרָאֵל,Israel,Proper Noun,
1A,5000,כְּ־,"(pref prep) like, as, about, according to",Preposition,
1A,4395,כִּי,"(conj) for, because, that, indeed, surely, when",Conjunction,
1A,5000,"כֹּל , כּוֹל","all, every",Noun,Measurement and Numbers
1A,5000,לְ־,"(pref prep) to, for, with regard to, with reference to, toward; (voc) Do! Yes!",Preposition,
1A,4973,לֹא,"(neg) no, not",Particle,
1A,2522,מֶ֫לֶךְ,king,Noun,"People, Law, and Covenant"
1A,4898,עַל,"(prep) upon, on, over, concerning, beside, against",Preposition,
1A,2573,עָשָׂה,"to do, make, perform; (Pi) press, squeeze",Verb,Action and Stative Verbs
1B,1568,אָב,father,Noun,Family and Tribe
1B,2149,אִישׁ ; אֲנָשִׁים,(s; pl) man,Noun,Humans and Anatomy
1B,1046,אִם,"(conj) if, then",Conjunction,
1B,1316,אֲנִי ; אָנֹכִי,(pers pr c) I,Pronoun,
1B,2039,בַּ֫יִת,house,Noun,Building and Travel
1B,1130,דָּבַר,(Pi) to speak,Verb,Personal Interactions
1B,1426,דָּבָר,"word, thing, affair, matter",Noun,Personal Interactions
1B,1031,דָּוִד,David,Proper Noun,
1B,1533,הוּא,(pers pr) he,Pronoun,
1B,1504,הָלַךְ,"to walk, go",Verb,Movement Verbs
1B,1553,הֵ֫מָּה ; הֵ֫נָּה,(pers pr pl m; f) they,Pronoun,
1B,1037,הִנֵּה,"(dem interj) behold! lo! (Cf. 3.G, הֵן)",Interjection,
1B,1752,זֶה ; זֹאת,"(dem pr, s m; f) this",Pronoun,
1B,1580,יָד,hand,Noun,Humans and Anatomy
1B,1055,יָצָא,"to go (come) out, go (come) forth",Verb,Movement Verbs
1B,1078,יָשַׁב,"to sit, dwell, inhabit",Verb,Building and Travel
1B,1099,לִפְנֵי,(prep) before,Preposition,
1B,1279,מִן,"(prep) from, away from, out of, some of, because of; (comp) than",Preposition,
1B,1994,נָתַן,to give,Verb,Action and Stative Verbs
1B,1246,עַד,"(prep) to, unto, as far as (spacial); until, while (temporal)",Preposition,Time and Seasons
1B,1080,עִיר ; עָרִים,(f; irr pl) city,Noun,Building and Travel
1B,1827,עַם,people,Noun,"People, Law, and Covenant"
1B,1076,עִם,(prep) with,Preposition,
1B,2120,פָּנִים,"face, presence",Noun,Humans and Anatomy
1B,1294,רָאָה,to see,Verb,Action and Stative Verbs
1B,1055,שׁוּב,"to turn, return",Verb,Movement Verbs
1B,1136,שָׁמַע,"to hear, give ear to, obey",Verb,Action and Stative Verbs
1C,770,אָדוֹן ; אֲדֹנָי,"lord, master, sir; the Lord",Noun,Worship/Cultic
1C,959,אֶחָד ; אַחַת,(s m; f) one,Numeral,Measurement and Numbers
1C,773,אַ֫יִנ ; אֵין,(abs; cstr) there is/are not (non-existence),Particle,
1C,795,אָכַל,"to eat, consume, devour",Verb,Food
1C,738,אַל,"no, not",Particle,
1C,738,אֵ֫לֶּה,(dem pr; c pl) these,Pronoun,
1C,779,אִשָּׁה ; נָשִׁים,(s; irr pl) woman,Noun,Humans and Anatomy
1C,893,אַתָּה ; אַתְּ,(s m; f) you,Pronoun,
1C,812,גַּם,"(adv, conj) also, even, moreover, yea, although",Adverb,
1C,924,יָדַע,"to know, notice",Verb,Action and Stative Verbs
1C,889,יְהוּדָה ; יְהוּדִי,"Judah; (gent adj, n) Judean, Judahite",Proper Noun,
1C,749,כֹּהֵן,priest,Noun,Worship/Cultic
1C,844,לֵב ; לֵבָב,"heart, mind",Noun,Humans and Anatomy
1C,964,לָקַח,to take,Verb,Movement Verbs
1C,760,"מָה , מֶה , מַה","(interr pr) what?, how?",Pronoun,
1C,737,מוּת,to die,Verb,Action and Stative Verbs
1C,763,מֹשֶׁה,Moses,Proper Noun,
1C,753,נֶ֫פֶשׁ,"life, soul; throat",Noun,Humans and Anatomy
1C,800,עֶ֫בֶד,"servant, slave",Noun,"People, Law, and Covenant"
1C,867,עַ֫יִן,"eye; spring, fountain",Noun,Humans and Anatomy
1C,879,עָלָה,"to go up, ascend",Verb,Movement Verbs
1C,819,עָשָׂר ; עֶשְׂרִים,(s m; c pl) ten (plus num. = 11-19); twenty,Numeral,Measurement and Numbers
1C,730,קָרָא,"to call, meet; give a name to; read (aloud)",Verb,Action and Stative Verbs
1C,839,שָׁלַח,"to send, stretch out, let go",Verb,Movement Verbs
1C,817,שָׁם,(adv) there,Adverb,Measurement and Numbers
1C,862,שֵׁם,name,Noun,Family and Tribe
1C,871,שָׁנָה,year,Noun,Time and Seasons
1C,739,שְׁנַ֫יִם ; שְׁתַּ֫יִם,(du m; f) two,Numeral,Measurement and Numbers
1D,553,אָדָם,"man, human, humanity, person, Adam",Noun,Humans and Anatomy
1D,626,אָח,brother,Noun,Family and Tribe
1D,713,אַחַר,"behind, after",Preposition,
1D,582,בַּת,daughter,Noun,Family and Tribe
1D,525,גָּדוֹל,"(adj) great, big, large",Adjective,
1D,545,גּוֹי,"people, nation",Noun,Lands and Warfare
1D,698,דֶּ֫רֶךְ,"way, road, journey; (ext) custom",Noun,Building and Travel
1D,541,הִיא,(pers pr) she,Pronoun,
1D,554,הַר,"mountain, range",Noun,Heavens and Earth
1D,612,טוֹב,"to be good; (adj) good, beautiful; (n) goodness",Verb,Action and Stative Verbs
1D,667,יְרוּשָׁלַ֫םִ,(Q) Jerusalem (26 times in Aramaic),Proper Noun,
1D,504,כַּאֲשֶׁר,"(conj) as, even as, when, just as",Conjunction,
1D,554,כֹּה,"(adv) thus, so",Adverb,
1D,707,כֵּן,"(adv, adj, n) rightly, upright, right; (adv) thus, so",Adverb,
1D,577,מֵאָה,hundred; (du) two hundred,Numeral,Measurement and Numbers
1D,574,מַ֫יִם,water,Noun,Heavens and Earth
1D,708,מִצְרַ֫יִם ; מִצְרִי,Egypt; (gent) Egyptian,Proper Noun,
1D,504,נָכָה,(Ni) to be hit; (Hi) to smite,Verb,Action and Stative Verbs
1D,651,נָשָׂא,"to lift up, bear, carry",Verb,Movement Verbs
1D,539,עָבַר,"to pass over, transgress",Verb,Movement Verbs
1D,519,עָמַד,"to stand, remain, persist",Verb,Movement Verbs
1D,624,קוּם,"to rise, stand",Verb,Movement Verbs
1D,593,רֹאשׁ,"head, top, chief",Noun,Humans and Anatomy
1D,661,"רָע , רַע","(s m; f) bad, evil",Adjective,"People, Law, and Covenant"
1D,661,רָעָה,"evil, harm",Noun,"People, Law, and Covenant"
1D,584,שִׂים,"to set, place",Verb,Action and Stative Verbs
1D,586,"שָׁלֹשׁ , שְׁלֹשָׁה","(s m, f) three",Numeral,Measurement and Numbers
1D,586,שְׁלֹשִׁים,(pl of three) thirty,Numeral,Measurement and Numbers
2A,494,אֶ֫לֶף,"thousand, tribe, clan",Numeral,Measurement and Numbers
2A,444,"אַרְבַּע , אַרְבָּעָה","(s m, f) four",Numeral,Measurement and Numbers
2A,444,אַרְבָּעִים,(pl of four) forty,Numeral,Measurement and Numbers
2A,416,בְּתוֹךְ,"Same as תָּ֫וֶךְ (midst, middle; (prep) within, through)",Noun,
2A,478,"חָמֵשׁ , חֲמִשָּׁה","(s m, f) five",Numeral,Measurement and Numbers
2A,478,חֲמִשִּׁים,(pl five) fifty,Numeral,Measurement and Numbers
2A,407,חֶ֫רֶב,sword,Noun,Lands and Warfare
2A,488,יָלַד,"to bear, beget",Verb,Family and Tribe
2A,401,מִזְבֵּ֫חַ,altar,Noun,Worship/Cultic
2A,406,מִי,who?,Pronoun,
2A,451,מָצָא,to find; (Hi) present,Verb,Action and Stative Verbs
2A,425,מִשְׁפָּט,"judgement, justice, right, custom",Noun,"People, Law, and Covenant"
2A,401,נָא,"(particle of entreaty) pray, now; please",Particle,
2A,433,נָפַל,to fall,Verb,Movement Verbs
2A,481,עוֹד,"still, yet, again, else",Adverb,
2A,434,"עוֹלָם , עֹלָם",remote time; forever; eternity,Noun,Time and Seasons
2A,432,עַתָּה,now,Adverb,Time and Seasons
2A,492,"פֶּה ; כְּפִי , לְפִי",mouth; (conj) according to,Noun,Humans and Anatomy
2A,485,צָבָא,"service in war; host, army",Noun,Lands and Warfare
2A,494,צָוָה,(Pi) to command,Verb,"People, Law, and Covenant"
2A,430,קֹ֫דֶשׁ,"(adj, n) holy (thing)",Adjective,Worship/Cultic
2A,499,קוֹל,"voice, sound",Noun,Humans and Anatomy
2A,475,רַב,"(adj) many, much, abundant, mighty; (ctxt) captain, chief",Adjective,Measurement and Numbers
2A,406,שָׁאוּל,Saul,Proper Noun,
2A,492,"שֶׁ֫בַע , שִׁבְעָה","(s m, f) seven",Numeral,Measurement and Numbers
2A,492,שִׁבְעִים,(pl of seven) seventy,Numeral,Measurement and Numbers
2A,416,שָׁמַ֫יִם,"heavens, sky",Noun,Heavens and Earth
2A,465,שָׁמַר,"to keep, guard, watch",Verb,Action and Stative Verbs
2A,412,שַׂר,"commander, ruler, prince",Noun,"People, Law, and Covenant"
2A,416,תָּ֫וֶךְ,"midst, middle; (prep) within, through",Noun,
2A,490,תַּ֫חַת,"(prep) under, beneath, instead of, in place of",Preposition,
2B,342,אֹ֫הֶל,tent,Noun,Building and Travel
2B,347,אַהֲרוֹן,Aaron,Proper Noun,
2B,311,אוֹ,(conj) or,Conjunction,
2B,375,אֵשׁ,fire,Noun,Heavens and Earth
2B,330,אַתֶּם ; אַתֶּן,(pl m; f) you,Pronoun,
2B,396,בֵּין ; בַּ֫יִן,(cstr prep) between; (n) interval,Preposition,
2B,373,בָּנָה,to build,Verb,Building and Travel
2B,328,בָּרַךְ,to bless,Verb,"People, Law, and Covenant"
2B,356,דָּם,blood,Noun,Humans and Anatomy
2B,383,זָהָב,gold,Noun,Metals and Stone
2B,386,חַי ; חַיִּים,"(n) life, (adj) alive, living; (pl) lifetime",Noun,Humans and Anatomy
2B,392,יָם,sea; (ext) west,Noun,Heavens and Earth
2B,348,יַעֲקֹב,Jacob,Proper Noun,
2B,377,יָרֵא,"(stat) to fear, be afraid",Verb,Action and Stative Verbs
2B,380,יָרַד,"to go down, descend",Verb,Movement Verbs
2B,324,כְּלִי,"vessel, instrument, weapon",Noun,Lands and Warfare
2B,399,כֶּ֫סֶף,"silver, money",Noun,Metals and Stone
2B,353,לֵוִי,Levi (4 times in Aramaic),Proper Noun,
2B,319,מִלְחָמָה,"battle, war",Noun,Lands and Warfare
2B,347,מָלַךְ,"to reign, rule",Verb,"People, Law, and Covenant"
2B,399,מָקוֹם,place,Noun,Building and Travel
2B,378,נְאֻם,"utterance, declaration",Noun,Worship/Cultic
2B,313,נָבִיא,prophet,Noun,Worship/Cultic
2B,369,נָגַד,"(Hi) to make known, report, tell",Verb,Action and Stative Verbs
2B,314,עָנָה (I),to answer,Verb,Personal Interactions
2B,330,עֵץ,"(also coll) tree, wood",Noun,Plants and Animals
2B,376,ר֫וּחַ,"spirit, wind, breath",Noun,Worship/Cultic
2B,332,שָׂדֶה ; שָׂדַי,"field, country",Noun,Heavens and Earth
2B,368,שָׁ֫עַר,gate,Noun,Building and Travel
2C,281,"אֹיֵב , אוֹיֵב",enemy,Noun,Occupation
2C,279,אַף,"nose, nostril; (ext) anger",Noun,Humans and Anatomy
2C,288,בָּבֶל ; בַּבְלָי,Babylon (Babel); (gent) Babylonians,Proper Noun,
2C,287,בְּרִית,covenant,Noun,"People, Law, and Covenant"
2C,270,בָּשָׂר,flesh,Noun,Humans and Anatomy
2C,278,חֹ֫דֶשׁ,"new moon, month",Noun,Time and Seasons
2C,288,חָזַק,"to be(come) strong, prevail; (Hi) seize, grasp",Verb,Action and Stative Verbs
2C,296,חַטָּאת,"sin, sin offering, expiation",Noun,Worship/Cultic
2C,281,חָיָה,"to live, be (stay) alive",Verb,Action and Stative Verbs
2C,287,כָּרַת,"to cut off, fell, exterminate; make (a covenant)",Verb,"People, Law, and Covenant"
2C,296,לֶ֫חֶם,"bread, food",Noun,Food
2C,287,מְאֹד,"(n) force, might; (adv) very, exceedingly",Noun,Humans and Anatomy
2C,271,מִדְבָּר,"desert, wilderness, wasteland",Noun,Heavens and Earth
2C,300,מִשְׁפָּחָה,(extended) family; clan,Noun,Family and Tribe
2C,309,סָבִיב,"(n) circuit; (adv) all around, round about, surrounding",Noun,
2C,298,סוּר,"to turn aside; (Hi) take away, remove",Verb,Movement Verbs
2C,289,עָבַד,"to serve, work, worship",Verb,Worship/Cultic
2C,288,עֹלָה,burnt offering,Noun,Worship/Cultic
2C,282,עֵת,time,Noun,Time and Seasons
2C,294,פְּלִשְׁתִּי ; פְּלֶ֫שֶׁת,(gent n) Philistine(s); Philistia,Proper Noun,
2C,301,פָּקַד,"to visit, number, appoint; miss; take care of; muster",Verb,Movement Verbs
2C,273,פַּרְעֹה,Pharaoh,Proper Noun,
2C,275,צֹאן ; צֹנֶה,flock,Noun,Plants and Animals
2C,291,קָרַב,to draw near,Verb,Movement Verbs
2C,293,שְׁלֹמֹה,Solomon,Proper Noun,
2C,272,"שֵׁשׁ , שִׁשָּׁה","(s m, f) six",Numeral,Measurement and Numbers
2C,272,שִׁשִׁים,(pl of six) sixty,Numeral,Measurement and Numbers
2D,268,אֶ֫בֶן,(f) stone,Noun,Metals and Stone
2D,235,אַבְרָהָם ; אַבְרָם,Abraham; Abram,Proper Noun,
2D,225,אֲדָמָה,ground,Noun,Heavens and Earth
2D,236,אֵל,"Mighty One, God",Proper Noun,Worship/Cultic
2D,226,אַמָּה,"forearm, cubit",Noun,Measurement and Numbers
2D,225,בָּקַשׁ,(Pi) to seek,Verb,Action and Stative Verbs
2D,241,גְּבוּל,"boundary, territory",Noun,Lands and Warfare
2D,230,זָכַר,to remember,Verb,Action and Stative Verbs
2D,228,זֶ֫רַע,seed,Noun,Plants and Animals
2D,237,חָטָא,"to miss (a mark), sin",Verb,Worship/Cultic
2D,246,חַ֫יִל,strength; wealth; army,Noun,Lands and Warfare
2D,250,חֶ֫סֶד,"devotion, loyalty, kindness, steadfast love",Noun,"People, Law, and Covenant"
2D,247,יְהוֹשׁ֫וּעַ ; יֵשׁ֫וּעַ,Joshua,Proper Noun,
2D,231,יָרַשׁ,"to subdue, possess, dispossess; tread",Verb,Action and Stative Verbs
2D,260,יֹשֵׁב,(Qal part) inhabitant,Noun,Humans and Anatomy
2D,222,כָּתַב,to write,Verb,Action and Stative Verbs
2D,231,לַ֫יְלָה ; לַ֫יִל,(m) night,Noun,Time and Seasons
2D,269,לְמַ֫עַן,"(prep) for the sake of, on account of; (conj) in order that",Preposition,
2D,223,מוֹעֵד,appointed place or time; season,Noun,Time and Seasons
2D,252,מַטֶּה,"rod, staff; (ext) tribe",Noun,Family and Tribe
2D,250,מָלֵא (I),"(stat) to be full; (Pi) to fill, fulfill",Verb,Action and Stative Verbs
2D,235,מַעֲשֶׂה,work,Noun,Humans and Anatomy
2D,223,נַחֲלָה,inheritance,Noun,Family and Tribe
2D,240,נַ֫עַר,"lad, youth",Noun,Humans and Anatomy
2D,231,עָוֹן,"guilt, iniquity, transgression",Noun,Worship/Cultic
2D,227,קֶ֫רֶב ; בְּקֶ֫רֶב,"inward part, midst; (prep) in (the midst of)",Noun,
2D,226,רָבָה,"to be(come) numerous, be great; (Hi) multiply, make many",Verb,Action and Stative Verbs
2D,252,רֶ֫גֶל,foot,Noun,Humans and Anatomy
2D,264,רָשָׁע ; רְשָׁעָה,"(s m; f; adj) guilty; (n) wicked, criminal",Adjective,"People, Law, and Covenant"
2D,242,שָׁלוֹם,"peace, health",Noun,"People, Law, and Covenant"
2D,220,תּוֹרָה,"teaching, law",Noun,"People, Law, and Covenant"
2E,205,אָהַב,"to love, like",Verb,Personal Interactions
2E,219,אֵם,mother,Noun,Family and Tribe
2E,203,אָסַף,"to gather, take in",Verb,Movement Verbs
2E,202,אֲרוֹן,"ark, chest",Noun,"People, Law, and Covenant"
2E,214,בֶּ֫גֶד,garment,Noun,Clothing
2E,200,בֹּ֫קֶר,morning,Noun,Time and Seasons
2E,214,יוֹסֵף,Joseph,Proper Noun,
2E,212,יָסַף,to add,Verb,Measurement and Numbers
2E,205,יָשַׁע,(Ni) to be saved; (Hi) save,Verb,"People, Law, and Covenant"
2E,200,כָּבוֹד,"possessions, honor, glory",Noun,Worship/Cultic
2E,219,כּוּן,"(Ni) to be firm, established; (Pol) establish; (Hi) prepare",Verb,Action and Stative Verbs
2E,204,כָּלָה,"to cease, come to an end, finish, complete",Verb,Movement Verbs
2E,219,מַחֲנֶה,"army, camp",Noun,Lands and Warfare
2E,213,מַלְאָךְ,messenger,Noun,Humans and Anatomy
2E,211,מִנְחָה,gift; offering,Noun,Worship/Cultic
2E,215,נָטָה,"to stretch out, turn",Verb,Action and Stative Verbs
2E,208,נָצַל,(Ni) to be delivered; (Hi) snatch away,Verb,Action and Stative Verbs
2E,212,עָזַב,"to leave, abandon",Verb,Movement Verbs
2E,206,צַדִּיק,"(adj) righteous, just",Adjective,"People, Law, and Covenant"
2E,211,שָׁכַב,to lie down; have sexual intercourse,Verb,Action and Stative Verbs
2E,203,שָׁפַט,"to judge, enter into controversy; (Ni) plead",Verb,"People, Law, and Covenant"
2E,217,שָׁתָה,to drink,Verb,Food
3A,183,אָבַד,to perish; (Pi) destroy; (Hi) exterminate,Verb,Action and Stative Verbs
3A,187,אֹ֫זֶן,ear,Noun,Humans and Anatomy
3A,182,אֶפְרַ֫יִם ; אֶפְרָתִי,Ephraim; (gent) Epraimite,Proper Noun,
3A,192,בְּהֵמָה ; בְּהֵמוֹת,"cattle, animals; (pl of ext) crocodile?",Noun,Plants and Animals
3A,180,בִּנְיָמִן ; בֶּן־יְמִינִי,Benjamin; (gent) Benjamites,Proper Noun,
3A,198,בַּ֫עַל,"owner, husband; Ba'al",Noun,Family and Tribe
3A,183,בָּקָר,"(coll) cows, herd(s), cattle",Noun,Plants and Animals
3A,187,גָּלָה,"to uncover, go away, go into exile",Verb,Movement Verbs
3A,178,זָקֵן,"old, elder",Noun,Humans and Anatomy
3A,193,חָצֵר,"permanent settlement, court, enclosure",Noun,Building and Travel
3A,194,יָכֹל,(stat) to be able,Verb,Action and Stative Verbs
3A,181,יַרְדֵּן,Jordan,Proper Noun,
3A,192,כַּף,"hand, palm",Noun,Humans and Anatomy
3A,196,לָכֵן,(adv) therefore,Adverb,
3A,199,מוֹאָב ; מוֹאָבִי,Moab; (gent) Moabite(s),Proper Noun,
3A,181,מִצְוָה,commandment,Noun,"People, Law, and Covenant"
3A,185,סֵ֫פֶר,scroll,Noun,
3A,182,רִאשׁוֹן,(ord) first; former,Numeral,Measurement and Numbers
3A,195,רוּם,"be(come) high, exalted",Verb,Action and Stative Verbs
3A,195,רֵ֫עַ,"friend, fellow, companion",Noun,Personal Interactions
3A,190,שֵׁ֫בֶט,"rod, staff; (ext) tribe",Noun,Family and Tribe
3A,186,שָׁבַע,"(Ni, Hi) to swear",Verb,Personal Interactions
3A,193,שֶׁ֫מֶן,oil,Noun,Food
3A,178,שָׂפָה,lip; (ext) shore,Noun,Humans and Anatomy
3B,166,אַחֵר,"(adj) another, other",Adjective,
3B,161,אַ֫יִל,ram,Noun,Plants and Animals
3B,160,אַךְ,"(adv) only; surely, however",Adverb,
3B,173,בָּחַר,to choose,Verb,Action and Stative Verbs
3B,171,בִּין,"to understand, perceive",Verb,Action and Stative Verbs
3B,161,גִּבּוֹר,"hero, warrior, mighty man",Noun,Humans and Anatomy
3B,169,דּוֹר,"generation, lifetime, life-span",Noun,Family and Tribe
3B,163,דָּרַשׁ,to seek,Verb,Action and Stative Verbs
3B,168,הָרַג,to kill,Verb,Action and Stative Verbs
3B,162,זֶ֫בַח,(n) sacrifice,Noun,Worship/Cultic
3B,174,חָוָה,(Hisht) to bow down,Verb,Worship/Cultic
3B,165,חוּץ,"(n) place outside the house, street; (prep, adv) outside, without",Noun,Building and Travel
3B,161,טָמֵא,(stat) to be unclean,Verb,Worship/Cultic
3B,163,כְּנַ֫עַן ; כְּנַעֲנִי,Canaan; (gent) Canaanite,Proper Noun,
3B,171,לָחַם,(Ni) to fight,Verb,Lands and Warfare
3B,173,"לָ֫מָּה , לָמָה",(interr pr) why?,Pronoun,
3B,167,מְלָאכָה,work,Noun,Humans and Anatomy
3B,160,נוּס,to flee,Verb,Movement Verbs
3B,162,סָבַב,to turn around,Verb,Movement Verbs
3B,162,סָפַר,"to write, count, number; (Pi) recount, report, enumerate",Verb,Measurement and Numbers
3B,173,עֶ֫שֶׂר ; עָשֲׂרָה,"(group of) ten, decade",Numeral,Measurement and Numbers
3B,163,פֶּ֫תָח,"gate, opening, entrance",Noun,Building and Travel
3B,172,קָדַשׁ,to be holy; (Pi) to consecrate,Verb,Worship/Cultic
3B,171,רָעָה,"to feed, graze, tend (cattle)",Verb,Plants and Animals
3B,173,שָׁאַל,"to ask (for), inquire, demand",Verb,Personal Interactions
3B,174,שָׁחָה,to bow down,Verb,Worship/Cultic
3B,161,שָׁחַת,"(Ni) to be corrupt, spoiled; (Pi) spoil, ruin; (Hi) destroy",Verb,Lands and Warfare
3C,156,אֲנַ֫חְנוּ,(1cp) we,Pronoun,
3C,155,אֲרָם ; אֲרַמִּי,"Aram, Syria; (gent) Aramean(s), Syrian(s)",Proper Noun,
3C,152,אַשּׁוּר,"Assyria, (as gent) Assyrian",Proper Noun,
3C,145,הָלַל,(Pi) to praise; (Hith) boast,Verb,Worship/Cultic
3C,152,חָכְמָה,"wisdom, experience, shrewdness",Noun,"People, Law, and Covenant"
3C,146,יוֹאָב,Joab,Proper Noun,
3C,147,יִרְמְיָה ; יִרְמְיָהוּ,Jeremiah,Proper Noun,
3C,157,כָּסָה,"(Pi) to cover, conceal",Verb,Action and Stative Verbs
3C,155,לְבָד,(adv) alone; (prep) besides,Adverb,
3C,159,מָ֫וֶת,death,Noun,Humans and Anatomy
3C,150,מְנַשֶּׁה,Manasseh,Proper Noun,
3C,151,נֶ֫גֶד,"(n, prep, adv) in front of, opposite, before",Noun,
3C,150,נָגַע,"to touch, reach; come to",Verb,Movement Verbs
3C,146,נָסַע,to depart,Verb,Movement Verbs
3C,149,עֵדָה,congregation,Noun,"People, Law, and Covenant"
3C,159,פַּר ; פָּרָה,(m; f) young bull; cow,Noun,Plants and Animals
3C,144,פָּתַח,"to open; (Pi) loosen, free",Verb,Action and Stative Verbs
3C,157,צְדָקָה,righteousness,Noun,"People, Law, and Covenant"
3C,154,צִיּוֹן,Zion,Proper Noun,
3C,153,צָפוֹן,north,Noun,Heavens and Earth
3C,153,רֹב,"multitude, abundance",Noun,Measurement and Numbers
3C,149,שָׁבַר,to break,Verb,Action and Stative Verbs
3C,156,שָׂמַח,to rejoice; (Pi) gladden,Verb,Personal Interactions
3C,147,שְׁמֹנֶה ; שְׁמֹנָה,"(s m, f) eight",Noun,Measurement and Numbers
3C,147,שְׁמֹנִים,eighty,Noun,Measurement and Numbers
3C,148,שָׂנֵא,"to hate; (Qal and Pi part) adversary, enemy",Verb,Personal Interactions
3C,156,שֵׁנִי,(ord) second,Numeral,Measurement and Numbers
3D,141,אָז ; מֵאָז,"(adv) then; formerly, since",Adverb,
3D,136,זָבַח,"to slaughter, sacrifice; (Pi) sacrifice",Verb,Worship/Cultic
3D,138,חָכָם,(adj) wise,Adjective,Humans and Anatomy
3D,134,חָלַל,"(Ni) to be defiled; (Pi) pollute, profane; (Hi) begin",Verb,Action and Stative Verbs
3D,143,חָנָה,to encamp,Verb,Lands and Warfare
3D,142,יַ֫חַד ; יַחְדָּו,"(n) community; (adv) together, at the same time",Noun,Family and Tribe
3D,141,יַ֫יִן,wine,Noun,Food
3D,139,יָמִין,right hand/side; south,Noun,Humans and Anatomy
3D,139,יֵשׁ,there is/are,Particle,
3D,139,כְּמוֹ,(rel particle) just like,Particle,
3D,136,כִּסֵּא,"throne, chair",Noun,Building and Travel
3D,134,מִסְפָּר,(n) number,Noun,Measurement and Numbers
3D,138,מַ֫עַל,(adj) upwards; (prep) above,Adjective,
3D,139,מִשְׁכָּן,"dwelling, tabernacle",Noun,Building and Travel
3D,143,נ֫וּחַ,"to rest, settle down, make quiet; (Hi) lay, deposit",Verb,Action and Stative Verbs
3D,138,נַ֫חַל,"torrent valley, wadi",Noun,Heavens and Earth
3D,139,נְח֫שֶׁת,"copper, bronze",Noun,Metals and Stone
3D,139,סוּס ; סוּסָה,"(m; f) horse, mare",Noun,Plants and Animals
3D,143,עֲבוֹדָה,"service, work",Noun,Humans and Anatomy
3D,134,עֶ֫רֶב,evening,Noun,Time and Seasons
3D,134,פָּנָה,"to face, turn",Verb,Movement Verbs
3D,139,קָרָא,to happen; (inf cstr as prep) against,Verb,Action and Stative Verbs
3D,143,רָדַפ,"to pursue, persecute",Verb,Movement Verbs
3D,139,שַׁ־ ּ,"(pref rel particle) who, which; that (with dages in following cons)",Particle,
3D,139,שְׁמוּאֵל,Samuel,Proper Noun,
3D,134,שֶׁ֫מֶשׁ,sun,Noun,Heavens and Earth
3E,125,אוֹר (I),light,Noun,Heavens and Earth
3E,127,אֱמֶת,"trustworthiness, stability, truth",Noun,"People, Law, and Covenant"
3E,130,אַף,"(conj) also, even, the more so",Conjunction,
3E,126,בּוֹשׁ,to be ashamed,Verb,Action and Stative Verbs
3E,122,"בְּכֹר , בְּכוֹר",firstborn,Noun,Family and Tribe
3E,122,גָּדַל,"to be(come) strong, great; (Pi) bring up, let grow, nourish",Verb,Movement Verbs
3E,133,חוֹמָה,(city) wall,Noun,Building and Travel
3E,131,חִזְקִיָּה ; חִזְקִיָּ֫הוּ,Hezekiah,Proper Noun,
3E,126,חֵמָה,"heat, rage, wrath; poison",Noun,Personal Interactions
3E,123,חֲצִי,half,Noun,Measurement and Numbers
3E,128,חֹק,"prescription, rule",Noun,"People, Law, and Covenant"
3E,124,חָשַׁב,"to account, regard, value",Verb,Action and Stative Verbs
3E,124,יְהוֹנָתָן,Jonathan,Proper Noun,
3E,129,כֶּ֫בֶשׂ ; כִּבְשַׂה,"(m, f) young ram; ewe-lamb",Noun,Plants and Animals
3E,125,כֹּ֫חַ,"strength, power",Noun,Humans and Anatomy
3E,129,כֶּ֫שֶׂב ; כִּשְׂבָּה,"(m, f) young ram; ewe-lamb",Noun,Plants and Animals
3E,121,לָכַד,"to seize, capture",Verb,Lands and Warfare
3E,125,נָגַשׁ,"to draw near, approach",Verb,Movement Verbs
3E,133,נָשִׂיא,prince,Noun,Humans and Anatomy
3E,122,עַמּוֹן ; עַמּוֹנִי,Ammon; (gent) Ammonites,Proper Noun,
3E,123,עֶ֫צֶם,"(s, coll) bone",Noun,Humans and Anatomy
3E,133,פֶּן־,(conj) lest,Conjunction,
3E,127,קָבַץ,"to assemble, gather together",Verb,Personal Interactions
3E,132,קָבַר,to bury,Verb,Action and Stative Verbs
